"Date","Price","Open","High","Low","Vol.","Change %"
"28-04-2025","22,352.95","22,003.45","22,427.15","21,919.95","33.16M","1.63%"
"25-04-2025","21,994.50","22,385.30","22,541.90","21,885.20","55.88M","-1.67%"
"24-04-2025","22,367.55","22,426.90","22,492.80","22,286.85","49.78M","-0.25%"
"23-04-2025","22,424.45","21,999.95","22,456.90","21,947.05","65.71M","2.38%"
"22-04-2025","21,903.70","21,837.05","21,957.70","21,729.80","40.31M","0.36%"
"21-04-2025","21,826.00","21,463.45","21,848.15","21,272.15","37.62M","2.12%"
"17-04-2025","21,373.10","21,152.00","21,414.60","20,953.10","40.65M","1.03%"
"16-04-2025","21,155.80","21,280.35","21,283.10","21,058.60","40.84M","-0.43%"
"15-04-2025","21,246.20","21,023.95","21,276.30","20,929.75","97.22M","3.39%"
"11-04-2025","20,548.65","20,493.05","20,637.95","20,432.30","59.29M","2.03%"
"09-04-2025","20,140.40","20,188.30","20,326.95","20,034.65","46.19M","0.01%"
"08-04-2025","20,138.15","20,141.65","20,307.30","19,805.25","61.44M","1.63%"
"07-04-2025","19,815.55","19,336.15","19,893.70","19,316.65","104.98M","-3.78%"
"04-04-2025","20,593.15","21,081.05","21,081.05","20,507.55","88.07M","-2.70%"
"03-04-2025","21,164.00","21,140.20","21,320.30","21,095.00","51.17M","-1.14%"
"02-04-2025","21,408.85","21,250.85","21,433.45","21,175.85","29.17M","0.82%"
"01-04-2025","21,235.25","21,177.00","21,543.80","21,100.20","36.08M","-0.28%"
"28-03-2025","21,295.50","21,570.20","21,577.20","21,200.75","59.27M","-1.03%"
"27-03-2025","21,516.75","21,445.65","21,611.95","21,216.40","116.31M","-1.04%"
"26-03-2025","21,742.80","21,776.10","21,924.60","21,704.80","68.44M","0.02%"
