"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2025","55,432.80","51,178.15","56,097.10","49,168.60","3.60B","7.50%"
"01-03-2025","51,564.85","48,478.60","52,063.95","47,702.90","3.26B","6.66%"
"01-02-2025","48,344.70","49,592.55","50,641.75","48,078.70","2.71B","-2.51%"
"01-01-2025","49,587.20","50,841.90","51,672.75","47,844.15","3.71B","-2.50%"
"01-12-2024","50,860.20","52,087.65","53,888.30","50,599.80","2.99B","-2.30%"
"01-11-2024","52,055.60","51,550.15","52,760.20","49,787.10","3.61B","1.13%"
"01-10-2024","51,475.35","52,844.00","53,235.25","50,194.30","4.75B","-2.84%"
"01-09-2024","52,978.10","51,579.50","54,467.35","50,369.40","3.42B","3.17%"
"01-08-2024","51,351.00","51,672.60","51,877.15","49,654.65","3.36B","-0.39%"
"01-07-2024","51,553.40","52,351.15","53,357.70","50,438.30","4.54B","-1.51%"
"01-06-2024","52,342.25","50,889.85","53,180.75","46,077.85","5.21B","6.86%"
"01-05-2024","48,983.95","49,262.00","49,688.85","46,983.25","4.52B","-0.84%"
"01-04-2024","49,396.75","47,391.05","49,974.75","46,579.05","4.45B","4.82%"
"01-03-2024","47,124.60","46,218.00","48,161.25","45,828.80","3.85B","2.18%"
"01-02-2024","46,120.90","46,164.90","47,363.40","44,633.85","5.33B","0.27%"
"01-01-2024","45,996.80","48,203.45","48,450.00","44,429.00","5.52B","-4.75%"
"01-12-2023","48,292.25","44,580.15","48,636.45","44,531.75","4.42B","8.57%"
"01-11-2023","44,481.75","42,694.25","44,764.80","42,589.65","3.09B","3.82%"
"01-10-2023","42,845.95","44,561.50","44,710.55","42,105.40","3.78B","-3.90%"
"01-09-2023","44,584.55","43,996.10","46,310.40","43,830.75","5.26B","1.35%"
"01-08-2023","43,989.15","45,740.00","45,782.75","43,600.35","4.74B","-3.64%"
"01-07-2023","45,651.10","44,957.95","46,369.50","44,547.80","5.60B","2.02%"
"01-06-2023","44,747.35","44,172.05","44,787.10","43,345.95","3.53B","1.40%"
"01-05-2023","44,128.15","43,395.05","44,498.60","42,582.20","4.29B","2.07%"
