"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2025","1,559.95","1,474.30","1,616.75","1,365.65","","5.74%"
"01-03-2025","1,475.25","1,391.95","1,576.40","1,344.40","","6.37%"
"01-02-2025","1,386.85","1,584.25","1,662.85","1,373.55","","-12.24%"
"01-01-2025","1,580.25","1,816.10","1,878.15","1,523.30","","-13.07%"
"01-12-2024","1,817.85","2,010.25","2,095.65","1,801.30","","-8.96%"
"01-11-2024","1,996.80","2,029.70","2,038.25","1,873.95","","-1.10%"
"01-10-2024","2,019.00","2,138.70","2,182.35","1,877.00","","-5.59%"
"01-09-2024","2,138.50","2,112.55","2,158.10","2,021.90","","1.62%"
"01-08-2024","2,104.50","2,162.25","2,174.55","1,993.70","","-2.10%"
"01-07-2024","2,149.70","1,999.05","2,169.25","1,887.45","","7.90%"
"01-06-2024","1,992.35","1,948.85","2,093.30","1,717.40","","6.52%"
"01-05-2024","1,870.40","1,896.05","1,918.50","1,742.95","","-1.18%"
"01-04-2024","1,892.80","1,816.60","1,947.75","1,812.85","","5.40%"
"01-03-2024","1,795.85","2,042.35","2,067.80","1,767.30","","-12.40%"
"01-02-2024","2,049.95","2,174.60","2,264.85","2,011.65","","-4.70%"
"01-01-2024","2,151.00","2,400.25","2,508.60","2,057.55","","-9.93%"
"01-12-2023","2,388.15","2,310.60","2,493.40","2,286.90","","3.99%"
"01-11-2023","2,296.55","2,203.35","2,310.10","2,182.90","","4.43%"
"01-10-2023","2,199.05","2,269.75","2,359.55","2,092.25","","-3.05%"
"01-09-2023","2,268.20","2,311.15","2,465.95","2,219.60","","-1.09%"
"01-08-2023","2,293.10","2,068.30","2,336.10","2,007.95","","11.23%"
"01-07-2023","2,061.50","1,751.20","2,072.15","1,742.15","","18.22%"
"01-06-2023","1,743.80","1,761.95","1,836.45","1,727.70","","-0.69%"
"01-05-2023","1,755.85","1,721.05","1,762.65","1,655.15","","2.39%"
