"Date","Price","Open","High","Low","Vol.","Change %"
"01-04-2025","19,966.70","19,081.45","20,281.40","17,269.55","","4.43%"
"01-03-2025","19,120.35","17,768.55","19,568.40","17,379.60","","7.72%"
"01-02-2025","17,750.55","19,931.85","20,098.90","17,591.90","","-10.58%"
"01-01-2025","19,850.95","21,148.80","21,579.35","18,778.00","0.02K","-6.10%"
"01-12-2024","21,141.20","20,911.05","21,960.25","20,849.65","0.02K","1.12%"
"01-11-2024","20,906.65","21,014.75","21,434.75","19,936.85","0.01K","0.14%"
"01-10-2024","20,876.70","22,339.75","22,400.30","20,365.80","","-6.43%"
"01-09-2024","22,311.95","22,014.15","22,515.40","21,415.95","","1.76%"
"01-08-2024","21,925.45","21,960.80","21,969.40","20,555.95","","0.30%"
"01-07-2024","21,860.95","20,898.35","21,913.10","20,264.90","","4.94%"
"01-06-2024","20,831.95","20,033.15","20,922.90","17,744.85","","7.89%"
"01-05-2024","19,308.75","18,971.85","19,717.40","18,081.10","","2.20%"
"01-04-2024","18,893.00","17,902.85","19,009.95","17,833.55","","6.34%"
"01-03-2024","17,766.00","17,925.05","18,156.00","16,717.95","","-0.37%"
"01-02-2024","17,831.10","17,937.10","18,345.10","17,293.60","","-0.30%"
"01-01-2024","17,884.70","17,135.00","17,893.95","16,961.25","","4.73%"
"01-12-2023","17,077.05","16,043.40","17,102.40","16,034.75","","6.98%"
"01-11-2023","15,963.25","14,604.15","15,990.05","14,529.20","","9.59%"
"01-10-2023","14,566.30","15,156.80","15,274.10","14,133.30","","-3.80%"
"01-09-2023","15,141.05","14,719.35","15,599.05","14,679.60","","3.04%"
"01-08-2023","14,693.85","14,190.05","14,728.65","13,857.85","","3.92%"
"01-07-2023","14,140.00","13,472.75","14,153.85","13,387.00","","5.51%"
"01-06-2023","13,401.45","12,635.30","13,411.95","12,631.15","","6.16%"
"01-05-2023","12,623.35","11,997.30","12,635.45","11,990.55","","5.69%"
